Date,Description,Amount,Category
01/01/2025,Tesco Superstore,-45.30,
02/01/2025,Monthly Salary,2500.00,
03/01/2025,Starbucks Coffee,-4.50,
04/01/2025,TfL Travel Charge,-25.00,
05/01/2025,Netflix Subscription,-9.99,
06/01/2025,Amazon Purchase,-34.99,
07/01/2025,British Gas Electric,-85.00,
08/01/2025,Sainsbury's Local,-23.45,
09/01/2025,Uber Trip,-12.50,
10/01/2025,Nando's Restaurant,-28.00,
11/01/2025,Spotify Premium,-9.99,
12/01/2025,ASDA Groceries,-67.80,
13/01/2025,Costa Coffee,-3.80,
14/01/2025,Shell Petrol,-50.00,
15/01/2025,Virgin Media Broadband,-35.00,
16/01/2025,Deliveroo Order,-15.99,
17/01/2025,PureGym Membership,-25.00,
18/01/2025,Zara Store,-65.00,
19/01/2025,Waitrose,-42.15,
20/01/2025,Rent Payment,-800.00,
21/01/2025,Freelance Payment,500.00,
22/01/2025,McDonald's,-8.50,
23/01/2025,Lidl Supermarket,-31.20,
24/01/2025,Uber Eats,-18.50,
25/01/2025,Tax Refund,150.00,
26/01/2025,Oyster Top-up,-40.00,
27/01/2025,Amazon Prime,-7.99,Subscriptions
28/01/2025,Random Store XYZ,-15.00,
29/01/2025,Boots Pharmacy,-12.50,
30/01/2025,Greggs Bakery,-5.50,
31/01/2025,Bonus Payment,300.00,
