Date,Description,Amount,Category
01/01/2025,Tesco Superstore,-45.30,
02/01/2025,Monthly Salary,2500.00,
03/01/2025,Starbucks Coffee,-4.50,
04/01/2025,TfL Travel Charge,-25.00,
05/01/2025,Netflix Subscription,-9.99,
10/01/2025,Amazon Purchase,-34.99,
15/01/2025,British Gas Electric,-85.00,
20/01/2025,Rent Payment,-800.00,
25/01/2025,Freelance Payment,500.00,
28/01/2025,Sainsbury's Local,-123.45,
31/01/2025,Bonus Payment,300.00,
01/02/2025,Tesco Superstore,-52.80,
02/02/2025,Monthly Salary,2500.00,
05/02/2025,Netflix Subscription,-9.99,
08/02/2025,Uber Trip,-15.00,
10/02/2025,Nando's Restaurant,-32.00,
12/02/2025,ASDA Groceries,-78.90,
15/02/2025,Shell Petrol,-55.00,
18/02/2025,Zara Store,-95.00,
20/02/2025,Rent Payment,-800.00,
22/02/2025,Costa Coffee,-6.50,
25/02/2025,TfL Travel Charge,-30.00,
28/02/2025,Deliveroo Order,-22.99,
01/03/2025,Monthly Salary,2500.00,
05/03/2025,Tesco Superstore,-67.50,
08/03/2025,Netflix Subscription,-9.99,
10/03/2025,British Gas Electric,-92.00,
15/03/2025,Sainsbury's Local,-45.80,
18/03/2025,Uber Eats,-25.50,
20/03/2025,Rent Payment,-800.00,
22/03/2025,Freelance Payment,400.00,
25/03/2025,Amazon Purchase,-120.00,
28/03/2025,McDonald's,-12.50,
31/03/2025,Tax Refund,250.00,
01/04/2025,Monthly Salary,2500.00,
05/04/2025,Tesco Superstore,-89.20,
08/04/2025,Netflix Subscription,-9.99,
12/04/2025,Starbucks Coffee,-7.50,
15/04/2025,TfL Travel Charge,-45.00,
18/04/2025,Nando's Restaurant,-38.50,
20/04/2025,Rent Payment,-800.00,
22/04/2025,ASDA Groceries,-103.40,
25/04/2025,Shell Petrol,-60.00,
28/04/2025,Zara Store,-75.00,
30/04/2025,Spotify Premium,-9.99,
